nome,categoria,nov./2025,dez./2025,jan./2026,fev./2026,mar./2026,abr./2026,mai./2026
Enel,Custeio,"R$ 460,00","R$ 579,25","R$ 549,50",,"R$ 1.096,21","R$ 460,00","R$ 460,00"
Cagece,Custeio,"R$ 63,42","R$ 67,70","R$ 67,70","R$ 63,42","R$ 63,42","R$ 63,42","R$ 63,42"
Brisanet,Custeio,"R$ 99,89","R$ 102,20","R$ 104,12","R$ 104,12","R$ 104,12","R$ 104,12","R$ 104,12"
Habitação,Financiamentos,"R$ 980,00","R$ 980,00","R$ 985,84","R$ 980,00","R$ 980,00","R$ 980,00","R$ 980,00"
IPVA/Licenciamento/Seguro,Carro,,,,,,,
Análise - Vagner,Saúde,"R$ 400,00","R$ 200,00","R$ 300,00","R$ 400,00","R$ 400,00","R$ 400,00","R$ 400,00"
Análise - Amanda,Saúde,,,,,,,
Lillian,Dívida,"R$ 1.952,83","R$ 1.037,49","R$ 1.091,69","R$ 375,00","R$ 1.790,34","R$ 1.082,67","R$ 1.082,67"
Unimed - Amanda,Saúde,"R$ 659,00","R$ 659,00","R$ 659,00","R$ 659,00","R$ 659,00","R$ 659,00","R$ 659,00"
Unimed - Vagner,Saúde,"R$ 521,22","R$ 521,22","R$ 521,22","R$ 521,22","R$ 521,22","R$ 521,22","R$ 521,22"
Assetece,Serviços,"R$ 121,00","R$ 121,00","R$ 121,00","R$ 121,00","R$ 121,00","R$ 121,00","R$ 121,00"
Mestrado - Amanda,Educação,"R$ 350,00","R$ 350,00","R$ 357,42","R$ 350,00","R$ 350,00","R$ 350,00","R$ 350,00"
Aulas de canto,Educação,,,"R$ 220,00","R$ 220,00","R$ 250,00","R$ 250,00","R$ 250,00"
Box Base Inicial,Esporte,"R$ 210,00","R$ 210,00","R$ 210,00","R$ 210,00","R$ 210,00","R$ 210,00","R$ 210,00"
Pilates,Esporte,,,,"R$ 270,00",,,
Claro,Serviços,"R$ 61,02","R$ 61,02","R$ 61,80","R$ 61,02","R$ 61,02","R$ 61,02","R$ 61,02"
Tina,Casa,"R$ 250,00","R$ 250,00","R$ 312,50","R$ 250,00","R$ 250,00","R$ 250,00","R$ 250,00"
Spotify - Vagner,Serviços,"R$ 11,90","R$ 11,90","R$ 11,90","R$ 11,90","R$ 11,90","R$ 11,90","R$ 11,90"
Spotify - Amanda,Serviços,"R$ 11,90","R$ 11,90","R$ 11,90","R$ 11,90","R$ 11,90","R$ 11,90","R$ 11,90"
Chatgpt,Serviços,"R$ 120,00","R$ 120,00","R$ 118,03","R$ 120,00","R$ 120,00",,
Github Copilot,Serviços,"R$ 60,38","R$ 60,38","R$ 60,38",,,,
Google One,Serviços,"R$ 49,99","R$ 49,99","R$ 49,99","R$ 64,98","R$ 64,98","R$ 64,98","R$ 64,98"
Cursor,Serviços,"R$ 115,00","R$ 115,21","R$ 352,27","R$ 359,60","R$ 352,27","R$ 1.100,00","R$ 1.100,00"
Claude,Serviços,"R$ 115,16","R$ 119,34","R$ 115,16","R$ 115,16","R$ 115,16","R$ 553,00","R$ 553,00"
IFood,Serviços,,,"R$ 1,00","R$ 1,00","R$ 1,00","R$ 1,00","R$ 1,00"
Meli+,Serviços,"R$ 8,90","R$ 8,90","R$ 39,90","R$ 39,90","R$ 39,90","R$ 39,90","R$ 39,90"
Canva - Amanda,Serviços,"R$ 24,24","R$ 24,24","R$ 24,24","R$ 24,24","R$ 24,24","R$ 24,24","R$ 24,24"
Anuidade Santander,Serviços,"R$ 87,50","R$ 87,50","R$ 87,50","R$ 87,50","R$ 87,50","R$ 87,50","R$ 87,50"
