categoria,nov./2025,dez./2025,jan./2026,fev./2026,mar./2026,abr./2026,mai./2026,jun./2026,jul./2026,ago./2026,set./2026,out./2026,nov./2026,dez./2026
Alimentação,"R$ 1.100,69","R$ 2.172,91","R$ 2.777,20","R$ 1.399,17","R$ 1.989,29","R$ 1.583,44","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00"
Lanche,"R$ 641,40","R$ 664,54","R$ 966,50","R$ 339,95","R$ 371,57","R$ 119,63","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00"
Lazer,"R$ 582,57","R$ 977,03","R$ 907,96","R$ 0,00","R$ 393,50","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00"
Combustível,"R$ 344,40","R$ 493,20","R$ 739,80","R$ 65,50","R$ 241,50","R$ 367,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00"
Álcool,"R$ 842,26","R$ 1.284,63","R$ 835,69","R$ 111,45","R$ 493,83","R$ 115,62","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00"
Higiene,"R$ 0,00","R$ 22,24","R$ 12,35","R$ 0,00","R$ 0,00","R$ 121,52","R$ 47,25","R$ 47,25","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00"
Limpeza,"R$ 6,45","R$ 168,81","R$ 36,75","R$ 10,99","R$ 84,82","R$ 43,44","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00"
Farmácia,"R$ 445,24","R$ 449,54","R$ 1.213,27","R$ 261,94","R$ 347,81","R$ 200,54","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00"
Serviços,"R$ 1.341,19","R$ 670,38","R$ 1.034,20","R$ 1.056,37","R$ 663,66","R$ 2.010,73","R$ 1.955,44","R$ 1.955,44","R$ 1.955,44","R$ 1.955,44","R$ 1.955,44","R$ 1.955,44","R$ 1.955,44","R$ 1.955,44"
Pets,"R$ 157,58","R$ 278,41","R$ 478,36","R$ 0,00","R$ 197,60","R$ 393,86","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00"
Saúde,"R$ 2.153,81","R$ 2.015,58","R$ 1.656,26","R$ 1.580,22","R$ 1.580,22","R$ 1.623,99","R$ 1.580,22","R$ 1.580,22","R$ 1.580,22","R$ 1.580,22","R$ 1.580,22","R$ 1.580,22","R$ 1.580,22","R$ 1.580,22"
Casa,"R$ 297,03","R$ 1.382,03","R$ 6.187,85","R$ 2.411,70","R$ 1.893,35","R$ 2.009,75","R$ 1.783,02","R$ 1.783,02","R$ 783,02","R$ 783,02","R$ 783,02","R$ 783,02","R$ 250,00","R$ 250,00"
Trabalho,"R$ 52,90","R$ 558,25","R$ 1.436,29","R$ 558,25","R$ 4.115,04","R$ 727,93","R$ 727,93","R$ 727,93","R$ 727,93","R$ 727,93","R$ 727,93","R$ 727,93","R$ 558,25","R$ 0,00"
Educação,"R$ 350,00","R$ 350,00","R$ 446,72","R$ 649,62","R$ 377,55","R$ 377,55","R$ 377,55","R$ 377,55","R$ 377,55","R$ 377,55","R$ 377,55","R$ 350,00","R$ 350,00","R$ 350,00"
Escritório,"R$ 0,00","R$ 38,00","R$ 122,98","R$ 0,00","R$ 61,94","R$ 61,94","R$ 61,94","R$ 61,94","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00"
Perfumaria,"R$ 154,67","R$ 93,80","R$ 505,65","R$ 0,00","R$ 0,00","R$ 80,90","R$ 80,90","R$ 80,90","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00"
Roupa,"R$ 457,52","R$ 574,06","R$ 1.658,41","R$ 961,49","R$ 660,11","R$ 381,44","R$ 301,54","R$ 101,64","R$ 41,64","R$ 41,64","R$ 41,64","R$ 41,64","R$ 41,64","R$ 41,64"
Carro,"R$ 150,00","R$ 250,00","R$ 230,00","R$ 0,00","R$ 262,00","R$ 30,96","R$ 30,96","R$ 30,96","R$ 30,96","R$ 30,96","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00"
Estética,"R$ 215,08","R$ 416,55","R$ 570,70","R$ 0,00","R$ 40,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00"
